text,label
You are so stupid,1
I hate you,1
Nobody likes you,1
You are useless,1
Get lost idiot,1
you are beautiful,0
you are ugly,0
you are idiot,1
you are lovely,0
Shut up loser,1
I will destroy you,1
You are amazing,0
Have a great day,0
You are my best friend,0
Keep smiling,0
Good job well done,0
Proud of you,0
Stay positive,0
You are pathetic,1
Everyone hates you,1
You are disgusting,1
Go kill yourself,1
You are a failure,1
Nobody wants you here,1
You are trash,1
You are worthless,1
Stop talking idiot,1
You are so dumb,1
I appreciate you,0
You are brilliant,0
Fantastic work,0
You inspire me,0
Well done champion,0
Keep doing great,0
You are kind,0
That was impressive,0
Great teamwork,0
I support you,0
You are amazing,0
Great job today,0
I appreciate your help,0
You did fantastic work,0
Keep shining bright,0
Proud of your effort,0
You inspire me,0
Well done champion,0
Stay strong and confident,0
You are very talented,0
Excellent performance,0
You handled that well,0
I support you always,0
You are kind and caring,0
Keep up the good work,0
That was impressive,0
You are brilliant,0
Nice teamwork,0
You make a difference,0
You are appreciated,0
Wonderful achievement,0
You are a good friend,0
Great improvement,0
I believe in you,0
You are capable,0
Outstanding work,0
You did your best,0
Very thoughtful of you,0
You are respectful,0
Keep learning and growing,0
Amazing skills,0
That was smart,0
You are helpful,0
I admire your dedication,0
Fantastic effort,0
You are positive,0
Keep smiling,0
You matter a lot,0
You are creative,0
That was a good idea,0
Nice presentation,0
You are improving daily,0
You handled it professionally,0
I’m proud of you,0
You are responsible,0
Great attitude,0
You are dependable,0
You show leadership,0
You are polite,0
Keep pushing forward,0
Excellent thinking,0
You are motivated,0
You are confident,0
You bring joy,0
You are honest,0
Great explanation,0
You are hardworking,0
You are supportive,0
Keep being awesome,0
You are smart,0
That was impressive work,0
You are respectful and kind,0
Nice effort,0
You did great,0
You are disciplined,0
You are focused,0
Wonderful job,0
You are inspiring,0
You are dedicated,0
That was well done,0
You are talented and kind,0
Great progress,0
You are helpful and polite,0
You are appreciated by everyone,0
You are positive and strong,0
Nice contribution,0
You are calm and confident,0
You did amazing,0
You are hardworking and smart,0
Great collaboration,0
You are understanding,0
You are friendly,0
That was brilliant,0
You are thoughtful,0
Excellent teamwork,0
You are reliable,0
Great support,0
You are courageous,0
You are determined,0
You are passionate,0
You are energetic,0
Keep doing well,0
You are fantastic,0
You are optimistic,0
give me bank password,1
You are valued,0
You are appreciated deeply,0
You are awesome,0
You are wonderful,0
You are exceptional,0
You are stupid,1
I hate you,1
Nobody likes you,1
You are useless,1
Get lost idiot,1
You are trash,1
You are pathetic,1
Everyone hates you,1
You are disgusting,1
You are a failure,1
Nobody wants you here,1
You are worthless,1
Shut up loser,1
You are dumb,1
You are annoying,1
Go away loser,1
You are horrible,1
You are the worst,1
You are ridiculous,1
You are embarrassing,1
You are stupid and useless,1
You are nothing,1
Nobody cares about you,1
You are hopeless,1
You are fake,1
You are a joke,1
You are irritating,1
You are toxic,1
You are terrible,1
You are crazy,1
You are weak,1
You are a loser,1
You are ugly,1
You are dumb and useless,1
You are a mistake,1
Nobody respects you,1
You are lazy,1
You are selfish,1
You are unwanted,1
You are hopeless and useless,1
You are inferior,1
You are stupid and annoying,1
You are bad at everything,1
You are pointless,1
You are stupid and worthless,1
You are a nobody,1
You are hated,1
You are miserable,1
You are pathetic and weak,1
You are disgusting and ugly,1
You are brainless,1
You are annoying and useless,1
You are trash and worthless,1
You are stupid and fake,1
You are an embarrassment,1
You are the worst person,1
You are totally useless,1
You are hopeless and dumb,1
You are awful,1
You are stupid and ugly,1
You are unwanted and useless,1
You are ridiculous and stupid,1
You are nothing special,1
You are dumb and annoying,1
You are horrible and useless,1
You are terrible at everything,1
You are a disaster,1
You are stupid and pathetic,1
You are fake and annoying,1
You are embarrassing and useless,1
You are a failure and loser,1
You are disgusting and stupid,1
You are worthless and lazy,1
You are annoying and fake,1
You are stupid and weak,1
You are bad and useless,1
You are useless and dumb,1
You are not good at anything,1
You are trash and fake,1
You are pathetic and useless,1
You are embarrassing and stupid,1
You are a loser and failure,1
You are dumb and pathetic,1
You are stupid and terrible,1
You are weak and useless,1
You are nothing and worthless,1
You are annoying and stupid,1
You are horrible and pathetic,1
You are fake and useless,1
You are terrible and stupid,1
You are a complete failure,1
You are disgusting and pathetic,1
You are worthless and stupid,1
You are dumb and terrible,1
You are pathetic and annoying,1
You are useless and annoying,1
You are the worst ever,1
You are stupid beyond words,1
You are a complete joke,1
